"perfrl","perell","aides","poverty517_all","urban","sesall","unemp_all","snap_all","pprev_tot","ppexp_inst","ppexp_tot","singmom_all","cs_mn_avg_ol"
0.602453887462616,0.161426037549973,12.75,0.282666653394699,0,-0.714758276939392,0.0366673246026039,0.219576716423035,9091.623046875,4960.17578125,11239.5166015625,0.314814805984497,-0.313425910838746
0.600223541259766,0.0618518479168415,27.5400009155273,0.22576966881752,0,-0.251325905323029,0.0396496802568436,0.182432428002357,9717.474609375,4934.61181640625,9647.46875,0.17905405163765,-0.226889529856353
0.180616676807404,0.041436105966568,57.8779983520508,0.0498652309179306,0,1.28819346427917,0.0401219725608826,0.0303234495222569,11904.771484375,6447.265625,12287.291015625,0.204851746559143,0.224198752578071
0.161109700798988,0.0279819779098034,40.2000007629395,0.0668080598115921,0,1.39201021194458,0.0272084325551987,0.0516877621412277,9862.44921875,5267.767578125,11003.47265625,0.215189874172211,0.498209889637955
0.480386346578598,0.0595150887966156,2.59999990463257,0.156976744532585,0,-0.0047832103446126,0.0395774208009243,0.110465116798878,9386.5341796875,4760.8291015625,10099.3544921875,0.337209314107895,-0.387505466159817
0.518269598484039,0.077986516058445,7.5,0.185185179114342,0,-0.185330256819725,0.0280459765344858,0.214659690856934,10076.7021484375,4930.45361328125,10139.9892578125,0.235602095723152,-0.156174073892314
0.0780322253704071,0.0123123740777373,15.3000001907349,0.01970443315804,0,1.4120569229126,0.0397212542593479,0.0147058824077249,9636.2119140625,5045.00390625,10880.1025390625,0.122549019753933,0.253085268293769
0.516678869724274,0.0201493222266436,6.31599998474121,0.225626736879349,0,-0.594942033290863,0.0487857758998871,0.22284123301506,9282.087890625,5335.26025390625,8952.5986328125,0.334261834621429,-0.186142583145614
0.518936455249786,0.00646589929237962,7.81599998474121,0.383419692516327,0,-1.38214802742004,0.0401002503931522,0.331606209278107,9221.244140625,5189.7060546875,9207.109375,0.357512950897217,-0.153620611950193
0.863300204277039,0.0114714978262782,9,0.361963182687759,0,-2.07331895828247,0.0720656141638756,0.410029500722885,10622.74609375,5351.5029296875,10613.490234375,0.557522118091583,-0.735704342150725
0.263946115970612,0.0050428444519639,8.94999980926514,0.178160920739174,0,-0.337343662977219,0.0457875467836857,0.201149418950081,8960.0048828125,5318.77685546875,8782.306640625,0.298850566148758,0.338987558343711
0.456265240907669,0.0646394044160843,28.9479999542236,0.238219901919365,0,-0.582955718040466,0.0713751167058945,0.183246076107025,11361.0693359375,6331.32275390625,11517.9169921875,0.3219895362854,-0.0625755199153753
0.63359671831131,0.0296217240393162,4.10199975967407,0.23958332836628,0,-1.34072124958038,0.076147086918354,0.270833343267441,9242.0234375,4938.78076171875,9285.14453125,0.395833343267441,-0.351959519416554
0.448888808488846,0.0064832647331059,9.18000030517578,0.194690272212029,0,-0.628784239292145,0.0510980971157551,0.320175439119339,14370.2109375,4179.57080078125,14448.37109375,0.271929830312729,0.144050921288888
0.231888741254807,0.0251603368669748,46.2000007629395,0.124065771698952,0,0.74753725528717,0.0319239795207977,0.111940301954746,11281.0966796875,5458.7763671875,11128.5,0.310447752475739,0.344824522606703
0.365579634904861,0.00921104475855827,38.7000007629395,0.105711847543716,0,0.353212803602219,0.0387794710695744,0.114893615245819,8087.849609375,4493.8212890625,8163.0810546875,0.254468083381653,0.0206311270749456
0.375679641962051,0.0239763781428337,158.475997924805,0.161764711141586,0,0.149579182267189,0.0386626347899437,0.126633480191231,9911.828125,5135.10986328125,10302.6953125,0.251400113105774,-0.006842059448169
0.957663655281067,0.0510015115141869,1,0.342857152223587,0,-1.22903370857239,0.0304586291313171,0.290476202964783,10404.306640625,5190.53125,10646.962890625,0.419047623872757,-0.950175333226382
0.84960800409317,0.016992686316371,23,0.425149708986282,0,-2.61853289604187,0.0725182890892029,0.34851485490799,9537.107421875,4956.4345703125,11344.7822265625,0.673267304897308,-0.675898403102255
0.541082382202148,0.00135944946669042,18.5179996490479,0.105140186846256,0,0.00473285280168056,0.0518337413668633,0.154022991657257,9617.48046875,4692.62744140625,10101.193359375,0.218390807509422,-0.414699976775739
0.79306173324585,0.0177139081060886,84.5500030517578,0.352016001939774,1,-2.10131168365479,0.0784737020730972,0.36391869187355,10924.3271484375,5284.99609375,12784.1357421875,0.589215159416199,-0.699995611661743
0.442103087902069,0.0395878218114376,37.318000793457,0.164596274495125,0,-0.175101697444916,0.0465557649731636,0.180327862501144,8288.0595703125,4488.6279296875,8129.00634765625,0.219262301921844,-0.275096451606146
0.428465962409973,0.00387144554406404,1.95199990272522,0.404580146074295,0,-1.84642004966736,0.0622440613806248,0.343511462211609,12900.169921875,5678.251953125,12513.9296875,0.488549619913101,0.0128191059011039
0.830726265907288,0.0472110696136951,0.800000011920929,0.37569060921669,0,-2.19580125808716,0.0662983432412148,0.381215482950211,10311.45703125,4696.80859375,10638.8984375,0.574585616588593,-0.863507722100446
0.705658674240112,0.00311319949105382,15,0.299191385507584,0,-1.61964905261993,0.056513138115406,0.361702114343643,9731.275390625,5065.595703125,10911.625,0.441489368677139,-0.510298190384507
0.471714019775391,0.00999166909605265,80.0400009155273,0.198934286832809,0,-0.459607690572739,0.0527781322598457,0.196460172533989,9019.453125,4638.16015625,8858.529296875,0.258407086133957,-0.158236220902665
0.62184751033783,0.00456790998578072,20.5639991760254,0.213983044028282,0,-0.774639308452606,0.0792711302638054,0.171610176563263,8813.5068359375,4529.33056640625,8607.96484375,0.288135588169098,-0.4936891172553
